,place_name,review,rating
465,카페키이로,매장이 청결해요,
466,카페키이로,뷰가 좋아요,
467,카페키이로,음료가 맛있어요,67
468,카페키이로,사진이 잘 나와요,
469,카페키이로,특별한 메뉴가 있어요,93
470,카페키이로,대화하기 좋아요,
471,카페키이로,가성비가 좋아요,
472,카페키이로,집중하기 좋아요,
473,카페키이로,화장실이 깨끗해요,
474,카페키이로,주차하기 편해요,
475,카페키이로,좌석이 편해요,
476,카페키이로,음식이 맛있어요,
477,카페키이로,매장이 넓어요,
478,카페키이로,단체모임 하기 좋아요,
479,카페키이로,특별한 날 가기 좋아요,
480,카페키이로,재료가 신선해요,
481,카페키이로,양이 많아요,
482,카페키이로,혼밥하기 좋아요,
483,도트블랭킷,커피가 맛있어요,
484,도트블랭킷,디저트가 맛있어요,
485,도트블랭킷,빵이 맛있어요,
486,도트블랭킷,친절해요,148
487,도트블랭킷,인테리어가 멋져요,131
488,도트블랭킷,매장이 청결해요,111
489,도트블랭킷,뷰가 좋아요,
490,도트블랭킷,음료가 맛있어요,
491,도트블랭킷,사진이 잘 나와요,
492,도트블랭킷,특별한 메뉴가 있어요,
493,도트블랭킷,대화하기 좋아요,
494,도트블랭킷,가성비가 좋아요,
495,도트블랭킷,집중하기 좋아요,
496,도트블랭킷,화장실이 깨끗해요,
497,도트블랭킷,주차하기 편해요,
498,도트블랭킷,좌석이 편해요,
499,도트블랭킷,음식이 맛있어요,456
500,도트블랭킷,매장이 넓어요,
501,도트블랭킷,단체모임 하기 좋아요,
502,도트블랭킷,특별한 날 가기 좋아요,
503,도트블랭킷,재료가 신선해요,238
504,도트블랭킷,양이 많아요,
505,도트블랭킷,혼밥하기 좋아요,
506,카페아르크,커피가 맛있어요,
507,카페아르크,디저트가 맛있어요,
508,카페아르크,빵이 맛있어요,
509,카페아르크,친절해요,
510,카페아르크,인테리어가 멋져요,
511,카페아르크,매장이 청결해요,
512,카페아르크,뷰가 좋아요,
513,카페아르크,음료가 맛있어요,
514,카페아르크,사진이 잘 나와요,
515,카페아르크,특별한 메뉴가 있어요,
516,카페아르크,대화하기 좋아요,
517,카페아르크,가성비가 좋아요,
518,카페아르크,집중하기 좋아요,
519,카페아르크,화장실이 깨끗해요,
520,카페아르크,주차하기 편해요,
521,카페아르크,좌석이 편해요,
522,카페아르크,음식이 맛있어요,
523,카페아르크,매장이 넓어요,
524,카페아르크,단체모임 하기 좋아요,
525,카페아르크,특별한 날 가기 좋아요,
526,카페아르크,재료가 신선해요,
527,카페아르크,양이 많아요,
528,카페아르크,혼밥하기 좋아요,
529,대충유원지 인왕산,커피가 맛있어요,47
530,대충유원지 인왕산,디저트가 맛있어요,
531,대충유원지 인왕산,빵이 맛있어요,
532,대충유원지 인왕산,친절해요,
533,대충유원지 인왕산,인테리어가 멋져요,34
534,대충유원지 인왕산,매장이 청결해요,
535,대충유원지 인왕산,뷰가 좋아요,49
536,대충유원지 인왕산,음료가 맛있어요,25
537,대충유원지 인왕산,사진이 잘 나와요,21
538,대충유원지 인왕산,특별한 메뉴가 있어요,
539,대충유원지 인왕산,대화하기 좋아요,
540,대충유원지 인왕산,가성비가 좋아요,
541,대충유원지 인왕산,집중하기 좋아요,
542,대충유원지 인왕산,화장실이 깨끗해요,
543,대충유원지 인왕산,주차하기 편해요,
544,대충유원지 인왕산,좌석이 편해요,
545,대충유원지 인왕산,음식이 맛있어요,
546,대충유원지 인왕산,매장이 넓어요,
547,대충유원지 인왕산,단체모임 하기 좋아요,
548,대충유원지 인왕산,특별한 날 가기 좋아요,
549,대충유원지 인왕산,재료가 신선해요,
550,대충유원지 인왕산,양이 많아요,
551,대충유원지 인왕산,혼밥하기 좋아요,
552,카페 하이웨이스트 익선점,커피가 맛있어요,151
553,카페 하이웨이스트 익선점,디저트가 맛있어요,312
554,카페 하이웨이스트 익선점,빵이 맛있어요,
555,카페 하이웨이스트 익선점,친절해요,
556,카페 하이웨이스트 익선점,인테리어가 멋져요,158
557,카페 하이웨이스트 익선점,매장이 청결해요,
558,카페 하이웨이스트 익선점,뷰가 좋아요,
559,카페 하이웨이스트 익선점,음료가 맛있어요,74
560,카페 하이웨이스트 익선점,사진이 잘 나와요,
561,카페 하이웨이스트 익선점,특별한 메뉴가 있어요,78
562,카페 하이웨이스트 익선점,대화하기 좋아요,
563,카페 하이웨이스트 익선점,가성비가 좋아요,
564,카페 하이웨이스트 익선점,집중하기 좋아요,
565,카페 하이웨이스트 익선점,화장실이 깨끗해요,
566,카페 하이웨이스트 익선점,주차하기 편해요,
567,카페 하이웨이스트 익선점,좌석이 편해요,
568,카페 하이웨이스트 익선점,음식이 맛있어요,
569,카페 하이웨이스트 익선점,매장이 넓어요,
570,카페 하이웨이스트 익선점,단체모임 하기 좋아요,
571,카페 하이웨이스트 익선점,특별한 날 가기 좋아요,
572,카페 하이웨이스트 익선점,재료가 신선해요,
573,카페 하이웨이스트 익선점,양이 많아요,
574,카페 하이웨이스트 익선점,혼밥하기 좋아요,
575,라카페갤러리,커피가 맛있어요,6
576,라카페갤러리,디저트가 맛있어요,
577,라카페갤러리,빵이 맛있어요,
578,라카페갤러리,친절해요,4
579,라카페갤러리,인테리어가 멋져요,5
580,라카페갤러리,매장이 청결해요,3
581,라카페갤러리,뷰가 좋아요,
582,라카페갤러리,음료가 맛있어요,
583,라카페갤러리,사진이 잘 나와요,
584,라카페갤러리,특별한 메뉴가 있어요,
585,라카페갤러리,대화하기 좋아요,3
586,라카페갤러리,가성비가 좋아요,
587,라카페갤러리,집중하기 좋아요,
588,라카페갤러리,화장실이 깨끗해요,
589,라카페갤러리,주차하기 편해요,
590,라카페갤러리,좌석이 편해요,
591,라카페갤러리,음식이 맛있어요,
592,라카페갤러리,매장이 넓어요,
593,라카페갤러리,단체모임 하기 좋아요,
594,라카페갤러리,특별한 날 가기 좋아요,
595,라카페갤러리,재료가 신선해요,
596,라카페갤러리,양이 많아요,
597,라카페갤러리,혼밥하기 좋아요,
598,서울서 둘째로잘하는집,커피가 맛있어요,
599,서울서 둘째로잘하는집,디저트가 맛있어요,183
600,서울서 둘째로잘하는집,빵이 맛있어요,
601,서울서 둘째로잘하는집,친절해요,256
602,서울서 둘째로잘하는집,인테리어가 멋져요,
603,서울서 둘째로잘하는집,매장이 청결해요,
604,서울서 둘째로잘하는집,뷰가 좋아요,
605,서울서 둘째로잘하는집,음료가 맛있어요,87
606,서울서 둘째로잘하는집,사진이 잘 나와요,
607,서울서 둘째로잘하는집,특별한 메뉴가 있어요,392
608,서울서 둘째로잘하는집,대화하기 좋아요,
609,서울서 둘째로잘하는집,가성비가 좋아요,
610,서울서 둘째로잘하는집,집중하기 좋아요,
611,서울서 둘째로잘하는집,화장실이 깨끗해요,
612,서울서 둘째로잘하는집,주차하기 편해요,
613,서울서 둘째로잘하는집,좌석이 편해요,
614,서울서 둘째로잘하는집,음식이 맛있어요,
615,서울서 둘째로잘하는집,매장이 넓어요,
616,서울서 둘째로잘하는집,단체모임 하기 좋아요,
617,서울서 둘째로잘하는집,특별한 날 가기 좋아요,
618,서울서 둘째로잘하는집,재료가 신선해요,
619,서울서 둘째로잘하는집,양이 많아요,
620,서울서 둘째로잘하는집,혼밥하기 좋아요,
621,슬로우파크,커피가 맛있어요,
622,슬로우파크,디저트가 맛있어요,
623,슬로우파크,빵이 맛있어요,
624,슬로우파크,친절해요,120
625,슬로우파크,인테리어가 멋져요,141
626,슬로우파크,매장이 청결해요,
627,슬로우파크,뷰가 좋아요,
628,슬로우파크,음료가 맛있어요,
629,슬로우파크,사진이 잘 나와요,
630,슬로우파크,특별한 메뉴가 있어요,
631,슬로우파크,대화하기 좋아요,
